EndDate,IPAddress,Duration in minutes,Q1,Q2,Regions,Region.North,Region.Delta,Region.Central,Region.South,"Counties with ""multiple""",Q5_19_TEXT,Q3_1,Acre Ranges,Q3_2,Q4_1,Q4_2,,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_2,Water Source,Q16_4_TEXT,Highest/Lowest Price,Highest Price,Pricex100,,Lowest Price,Water +CC Comments,Q12,Q13,Q14,Q15,Q16,Q17,PPH Comments,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19_1,Q19_2,Q19_3,Q20,Q21,AB Bee BMP Comments,Q22,Q23,Certification Comments,Q24,Q25,Who Supplied Bees,Q40_6_TEXT,Q26_1,Q26_2,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Pollination Comments,Q31,Q32,Q52,Q40_6_TEXT - Parent Topics,Q40_6_TEXT - Sentiment Polarity
12/10/19 16:15,174.222.128.208,83.13,"Owner, not responsible for day-to-day management",Kings,South,0,0,0,1,Kings,,57,Medium,0,60,0,TRUE,"Owner of the almond orchard(s),Beekeeper",No,,,Not sure,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",Increased strength of bee colonies during bloom,,Groundwater,,Not sure/prefer not to answer,,,,,,No,,,Yes,"Lack of available land,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat",Supporting native pollinators,,Always,Always,Always,Sometimes,Sometimes,Sometimes,Effort made,Always,Always,"Labor costs to apply pesticides/fungicides in the afternoon or evening,Limited communication with contracted beekeeper/s during bloom","The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom,Decreased rental fee for managed bee colonies",,Moderate interest,"The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom,A cost-share program that would cover some of the costs of meeting the certification standards,Ability to make marketing claims with a bee-friendly label,Price premium from handler/processor/distributer",,We rented all our bees,Prefer not to answer,Contracted beekeeper,,120,5,Too expensive,Prefer not to answer,,Strong concern,Moderate concern,Moderate concern,Moderate concern,Moderate concern,,25-34 years old,Male,,,
12/10/19 16:27,107.77.214.110,9.42,Farm manager (not owner),Yolo,Delta,0,1,0,0,Yolo,,5,Small,1,10,2,TRUE,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Private cost-share program that covered the cost of cover crop seeds",Groundwater,,Not sure/prefer not to answer,,,,,,Yes,1-3%,Somewhat Satisfied,NA,"Labor to plant and maintain it,Cost to plant and maintain it,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Usually,Usually,"Labor costs to apply pesticides/fungicides in the afternoon or evening,Labor costs to avoid tank-mixing insecticides with fungicides during bloom","The ability to attract high-quality beekeepers for almond bloom,Decreased rental fee for managed bee colonies",,Moderate interest,"Increasing the strength of bee colonies during bloom,A cost-share program that would cover some of the costs of meeting the certification standards",,Our orchards were not mature enough for bee pollination,,,,,,,,A fair price,Moderate concern,Moderate concern,Moderate concern,Moderate concern,Moderate concern,,45-54 years old,,,,
12/10/19 16:32,172.58.35.212,13.18,Owner/operator of almond orchard(s),Yolo,Delta,0,1,0,0,Yolo,,688,Large,58,600,100,TRUE,Pesticide applicator,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Cost of seeds",,Private cost-share program that covered the cost of cover crop seeds,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,Not sure,,,Not sure,"Availability of water,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Labor costs to apply pesticides/fungicides in the afternoon or evening,Processor/handler request to implement Almond Board's Bee BMPs,,Strong interest,The ability to attract high-quality beekeepers for almond bloom,,We rented some bees and supplied some of our own,"California, but not a neighboring county",Bee broker,,N/A,N/A,Too expensive,Somewhat satisfied,,Moderate concern,Strong concern,Moderate concern,Moderate concern,Strong concern,,35-44 years old,Male,,,
12/10/19 16:49,174.222.12.65,11.4,Farm manager (not owner),Madera,Central,0,0,1,0,Madera,,7000,Large,0,7000,0,TRUE,Farm manager,No,,,Yes,"Availability of equipment needed to plant seeds,Limited time for planting due to competing operations",Private cost-share program that covers the cost of cover crop seeds,,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,Yes,<1%,Somewhat Satisfied,NA,We have no concerns about permanent habitat,Supporting native pollinators,,Always,Always,Always,Always,Always,Always,Always,Always,Always,We had no challenges adopting the Almond Bee BMPs in 2019,"Increasing the strength of bee colonies during bloom,We already practice most or all of the Bee BMPs",,Moderate interest,"Increasing the strength of bee colonies during bloom,Supporting native pollinators",,We rented all our bees,Out of state,Contracted beekeeper,,210,,A fair price,Very satisfied,,Moderate concern,Moderate concern,Not a concern,Not a concern,Moderate concern,,25-34 years old,Male,,,
12/10/19 17:04,107.77.212.35,110.62,Owner/operator of almond orchard(s),Fresno,South,0,0,0,1,Fresno,,70,Medium,95,165,0,FALSE,Owner of the almond orchard(s),No,,,Yes,"Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",,A combination of surface water and groundwater,,Not Applicable,,,,,,No,,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",,Never,Always,Always,Always,Always,Always,Effort made,Effort made,Always,"Limited communication with nearby beekeepers (not contracted) during bloom (e.g., because their colonies were not registered)","The ability to attract high-quality beekeepers for almond bloom,Decreased rental fee for managed bee colonies",,Moderate interest,"The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom,A cost-share program that would cover some of the costs of meeting the certification standards,Decreased rental fee for managed bee colonies,Price premium from handler/processor/distributer",,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,"Contracted beekeeper,Bee broker",,180,8,Too expensive,Unsatisfied,,Strong concern,Strong concern,Strong concern,Moderate concern,Moderate concern,,35-44 years old,Male,,,
12/10/19 17:16,174.222.135.119,9.62,Farm manager (not owner),Kern,South,0,0,0,1,Kern,,25000,Large,1500,26500,0,TRUE,"Farm manager,Independent PCA (not affiliated with an agricultural retailer)",No,,,No,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",Increased strength of bee colonies during bloom,,A combination of surface water and groundwater,,"Highest Price,Lowest Price",1200,120000,,95,,Yes,<1%,Not Satisfied,NA,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Expense of water",Decreased rental fee for managed bee colonies,,Sometimes,Always,Sometimes,Sometimes,Never,Always,Usually,Effort made,Usually,We had no challenges adopting the Almond Bee BMPs in 2019,"Increasing the strength of bee colonies during bloom,Decreased rental fee for managed bee colonies",,Moderate interest,Supporting native pollinators,,We rented some bees and supplied some of our own,Out of state,Contracted beekeeper,,210,12,Prefer not to answer,Somewhat satisfied,,Moderate concern,Strong concern,Strong concern,Strong concern,Strong concern,,25-34 years old,Male,,,
12/11/19 0:17,207.183.232.124,19.35,"Owner, not responsible for day-to-day management","San Joaquin,Madera,Fresno",Central,0,0,1,0,Multiple,,425,Large,88,200,0,TRUE,"Owner of the almond orchard(s),Farm manager,Independent PCA (not affiliated with an agricultural retailer)",No,,,Not sure,"Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",,A combination of surface water and groundwater,,Highest Price,69,6900,,,,Yes,1-3%,Not Satisfied,NA,"Labor to plant and maintain it,Effort/time to manage it,Lack of information about how to grow permanent pollinator habitat","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Always,Usually,"Limited communication with contracted beekeeper/s during bloom,Safety issues involved in making nighttime applications","The ability to attract high-quality beekeepers for almond bloom,Processor/handler request to implement Almond Board's Bee BMPs,Increasing the strength of bee colonies during bloom",,Strong interest,"The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom",,We rented all our bees,Out of state,Contracted beekeeper,,200,8,A fair price,Very satisfied,,Moderate concern,Strong concern,Moderate concern,Moderate concern,Strong concern,,35-44 years old,Male,,,
12/11/19 15:00,174.222.135.176,7.4,"Owner, not responsible for day-to-day management","Stanislaus,Fresno",South,0,0,0,1,Multiple,,1550,Large,450,2000,0,TRUE,"Farm manager,Independent PCA (not affiliated with an agricultural retailer),Beekeeper",No,,,Yes,"Availability of water,Effort/time to manage it,Cost of seeds,Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",,A combination of surface water and groundwater,,"Highest Price,Lowest Price",225,22500,,15,,Not sure,,,Yes,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We will do it if its easy (doesn't interfere with our day-to-day) and inexpensive (doesn't change our profit per acre). ,Sometimes,Always,Always,Always,Sometimes,Sometimes,Usually,Always,Always,"Labor costs to apply pesticides/fungicides in the afternoon or evening,Limited communication with nearby beekeepers (not contracted) during bloom (e.g., because their colonies were not registered),The amount of ground your operation's applicator can cover in the late afternoon or at night","The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom,Decreased rental fee for managed bee colonies,We already practice most or all of the Bee BMPs",,Moderate interest,"The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom,A cost-share program that would cover some of the costs of meeting the certification standards,Decreased rental fee for managed bee colonies,Ability to make marketing claims with a bee-friendly label,Price premium from handler/processor/distributer",,We rented all our bees,Out of state,"Contracted beekeeper,Bee broker",,205,8,Too expensive,Very satisfied,,Strong concern,Moderate concern,Moderate concern,Strong concern,Moderate concern,,25-34 years old,Male,,,
12/11/19 15:10,174.222.133.50,9.42,Farm manager (not owner),NA,NA,NA,NA,NA,NA,NA,,14,Small,0,14,0,TRUE,Affiliated PCA (with an agricultural retailer),No,,,Yes,"Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",,Surface water,,"Highest Price,Lowest Price",160,16000,,46,,No,,,Not sure,Lack of available land,Increased strength of bee colonies during bloom and afterwards,,Never,Always,Always,Always,Sometimes,Sometimes,Effort made,Always,Always,"Limited communication with contracted beekeeper/s during bloom,Limited communication with nearby beekeepers (not contracted) during bloom (e.g., because their colonies were not registered),Safety issues involved in making nighttime applications",The ability to attract high-quality beekeepers for almond bloom,,Moderate interest,"A cost-share program that would cover some of the costs of meeting the certification standards,Decreased rental fee for managed bee colonies,Price premium from handler/processor/distributer",,We rented all our bees,Out of state,Contracted beekeeper,,200,160,Too expensive,Somewhat satisfied,,Moderate concern,Strong concern,Strong concern,Strong concern,Strong concern,,25-34 years old,Male,,,
12/11/19 15:12,174.222.129.188,10.73,Owner/operator of almond orchard(s),San Joaquin,Central,0,0,1,0,San Joaquin,,100,Medium,100,100,100,FALSE,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,We have no concerns about cover crops,,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,No,,,No,Cost to plant and maintain it,None of these are incentives,,Always,Always,Always,Always,Always,Always,Always,Always,Always,We had no challenges adopting the Almond Bee BMPs in 2019,"Processor/handler request to implement Almond Board's Bee BMPs,Decreased rental fee for managed bee colonies",,No interest,Decreased rental fee for managed bee colonies,,We rented all our bees,Out of state,Contracted beekeeper,,195,7,Too expensive,Somewhat satisfied,,Strong concern,Strong concern,Strong concern,Strong concern,Strong concern,,25-34 years old,,,,
12/11/19 15:14,107.77.212.54,13.32,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Central,0,0,1,0,Multiple,,1400,Large,200,500,400,TRUE,Owner of the almond orchard(s),Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Labor to grow/maintain it,Increased risk of frost damage",,None of these were incentives,Groundwater,,Not sure/prefer not to answer,,,,,,Yes,1-3%,Somewhat Satisfied,NA,Lack of available land,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards",,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,We had no challenges adopting the Almond Bee BMPs in 2019,The ability to attract high-quality beekeepers for almond bloom,,Moderate interest,The ability to attract high-quality beekeepers for almond bloom,,We rented all our bees,Out of state,Contracted beekeeper,,145,4,Too expensive,Somewhat satisfied,,Moderate concern,Strong concern,Strong concern,Strong concern,Strong concern,,25-34 years old,Male,,,
12/11/19 15:18,174.222.144.110,17.52,Farm manager (not owner),San Joaquin,Central,0,0,1,0,San Joaquin,,300,Large,40,340,0,TRUE,Affiliated PCA (with an agricultural retailer),No,,,No,"Availability of water,Incompatibility with irrigation system(s),Labor to grow/maintain it",Increased strength of bee colonies during bloom,,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,Not sure,,,Not sure,We have no concerns about permanent habitat,"Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Usually,Labor costs to apply pesticides/fungicides in the afternoon or evening,We already practice most or all of the Bee BMPs,,No interest,Price premium from handler/processor/distributer,,We rented all our bees,Out of state,Contracted beekeeper,,,,Too expensive,Somewhat satisfied,,Moderate concern,Moderate concern,Moderate concern,Moderate concern,Moderate concern,,25-34 years old,Male,,,
