EndDate,IPAddress,Duration (in seconds),Duration (in mins),DistributionChannel,RoleOperation,Regions,Tehama,Butte,Glenn,Colusa,Yuba,Sutter,Yolo,Solano,San Joaquin,Stanislaus,Madera,Merced,Fresno,Kings,Tulare,Kern,Sacramento,TotalYieldBearing,NonYieldBearing,TotalOwn,TotalLease,Pollination_Owner,Pollination_FM,Pollination_IndependentPCA,Pollination_AffiliatedPCA,Pollination_Pesticide,Pollination_Beekeeper,Pollination_BeeBroker,GrownCC,Fed_CostShare,Private_CostShare,SeedCompany,PCA/CCA,CC_Satisfaction,CC_Interest,ConcernCC_WaterAvailability,CC_WaterExpense,CC_IrrigationSystem,CC_EffortTime,CC_Labor,CC_EquipmentCost,CC_EquipmentAvailability,CC_SeedCost,CC_SoilType,CC_FrostDamage,CC_SupportPest,CC_CompetingOperations,CC_PhysicalInterference,CC_NoConcern,CC_PreferNotAnswer,FutureIncentivesCC_AssociatedNonPollination,FutureCC_DecreasedRentalFee,FutureCC_FedCostShare,FutureCC_PrivateCostShare,FutureCC_Equipment,FutureCC_BeeStrength,FutureCC_None,FutureCC_PreferNoAnswer,PastCCIncentives_AssociatedNonPollination,PastCC_DecreasedRentalFee,PastCC_FedCostShare,PastCC_PrivateCostShare,PastCC_Equipment,PastCC_BeeStrength,PastCC_None,PastCC_PreferNoAnswer,Irrigation_Flood,Irrigation_Micro,Irrigation_Solid,Irrigation_Single,Irrigation_Double,Irrigation_PreferNoAnswer,WaterSource,WaterSourceOther,WaterBoxH,WaterBoxL,NotApplicaple,NotSure,HighestWaterPrice,LowWaterPrice,CC_Comments,GrownPPH,PercentPPH,PPHSatisfaction,PPHInterest,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_15,Q24_16,Q25_1,Q25_4,Q25_3,Q25_5,Q25_6,Q25_8,Q25_11,Q26,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_10,Q30_11,Q31_1,Q31_2,Q31_3,Q31_4,Q31_9,Q31_6,Q31_8,Q32,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_8,Q35_11,Q35_12,Q36,Q38,Q39_1,Q39_2,Q39_3,Q39_6,Q40_3,Q40_2,Q40_4,Q40_6,Q40_8,Q40_6_TEXT,Q41_4,Q41_5,Q42,Q43,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q46,Q50,Q51,Q52,Q53,Q40_6_TEXT - Parent Topics,Q40_6_TEXT - Sentiment Polarity,Q40_6_TEXT - Sentiment Score,Q40_6_TEXT - Sentiment,Q40_6_TEXT - Topic Sentiment Label,Q40_6_TEXT - Topic Sentiment Score,Q40_6_TEXT - Topics
12/10/19 16:15,174.222.128.208,4988,83.13,qr,1,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57,0,60,0,1,,,,,1,,2,,,,,,6,,,1,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,1,,,,6,,,1,1,,1,1,,,1,,,,,,,,,,,,,1,,,,10,10,10,8,8,8,1,3,3,1,,1,,,,,,1,,1,1,,,,,3,1,1,1,,1,1,,,,,1,,,,1,1,,,,,,120,5,3,6,,3,2,2,2,2,,2,1,,1,,,,,,,
12/10/19 16:27,107.77.214.110,565,9.42,qr,3,Delta,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,10,2,1,,,1,,,,1,,1,,,5,,,1,1,1,1,1,,,1,,1,,,,,,,,,,,,,1,,,1,,,,,,1,1,,,,2,,,,,1,,,,1,9,5,,,1,,1,,,,,1,,,,,,,1,,1,1,1,,,,7,8,8,8,8,8,2,2,2,1,1,,,,,,,1,,,1,,,,,3,,1,1,,,,,,,,6,,,,,,,,,,,,,,,2,2,2,2,2,2,,4,,,1,,,,,,,
12/10/19 16:32,172.58.35.212,791,13.18,qr,2,Delta,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,58,600,100,,,,,1,,,1,,,1,,5,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,3,,,,,1,,,,7,,,8,,,,,,,,,1,,,,1,,,,1,,,,,,,8,8,8,10,10,10,3,3,3,1,,,,,,,,,1,,,,,,,4,1,,,,,,,,,,2,,1,,,,1,,,,,100,500,3,2,,2,3,2,2,3,,3,1,,1,,,,,,,
12/10/19 16:49,174.222.12.65,684,11.4,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7000,0,7000,0,,1,,,,,,2,,,,,,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,3,,,,,1,,,,1,8,5,,,,,,,,,,,,,,,1,,,,,,1,,,,10,10,10,10,10,10,3,3,3,,,,,,,1,,,,1,,1,,,,3,,1,,,,,1,,,,1,,,1,,1,,,,,,210,,2,4,,2,2,1,1,2,,2,1,,1,,,,,,,
12/10/19 17:04,107.77.212.35,6637,110.62,qr,2,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,70,95,165,0,1,,,,,,,2,,,,,,1,,,1,,,1,,,,,,1,,,,1,1,1,,1,1,,,,,,,,,,,,,,,1,,3,,,,1,,,,,6,,,8,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,,,7,10,10,10,10,10,1,1,3,,,,1,,,,,1,,,1,,,,,3,1,1,1,1,,1,,,,,1,1,,,,1,1,,,,,180,8,3,1,,3,3,3,2,2,,3,1,,1,,,,,,,
12/10/19 17:16,174.222.135.119,577,9.62,anonymous,3,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,25000,1500,26500,0,,1,1,,,,,2,,,,,,2,1,,1,1,1,1,1,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,3,,1,1,,,1200,95,,1,8,4,,1,1,1,1,1,1,,1,,,,,,,,,,1,,,,,,8,10,8,8,7,10,2,1,2,,,,,,,1,,,,1,1,,,,,3,,,,,,,1,,,,2,,,1,,1,,,,,,210,12,5,2,,2,3,3,3,3,,2,1,,1,,,,,,,
12/11/19 0:17,207.183.232.124,1161,19.35,qr,1,Central,,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,425,88,200,0,1,1,1,,,,,2,,,,,,6,,,,1,,,,,,1,,,1,,,1,1,,,,1,,,,,,,,,,,,1,,,1,,3,,1,,,,69,,,1,9,4,,,1,1,,,,1,,,,,,,,,,,1,1,1,,,,8,10,10,10,8,8,3,3,2,,,1,,,1,,,1,1,1,,,,,,4,1,1,,,,,,,,,1,,,1,,1,,,,,,200,8,2,4,,2,3,2,2,3,,3,1,,1,,,,,,,
12/11/19 15:00,174.222.135.176,444,7.4,anonymous,1,South,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1550,450,2000,0,,1,1,,,1,,2,,,,,,1,1,,,1,,,,1,,1,,,1,,,,1,1,1,1,,,,,,,,,,,,,1,,1,1,,3,,1,1,,,225,15,,7,,,1,1,1,1,,,1,1,,1,,,,,,,1,1,1,1,1,,,We will do it if its easy (doesn't interfere with our day-to-day) and inexpensive (doesn't change our profit per acre). ,8,10,10,10,8,8,2,3,3,1,,,1,1,,,,1,,1,1,1,,,,3,1,1,1,1,1,1,,,,,1,,,1,,1,1,,,,,205,8 frames,3,4,,3,2,2,3,2,,2,1,,1,,,,,,,
12/11/19 15:10,174.222.133.50,565,9.42,qr,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,14,0,,,,1,,,,2,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,1,1,,,160,46,,6,,,8,1,,,,,,,,,,,,,,,,,,1,,,,,7,10,10,10,8,8,1,3,3,,,1,1,,1,,,1,,,,,,,,3,,,1,1,,1,,,,,1,,,1,,1,,,,,,200,160,3,2,,2,3,3,3,3,,2,1,,1,,,,,,,
12/11/19 15:12,174.222.129.188,644,10.73,qr,2,Central,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,1,,,1,,,,1,,,,1,6,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,1,,3,,,,,1,,,,6,,,2,,,,1,,,,,,,,,,,,,,,,,1,,,10,10,10,10,10,10,3,3,3,,,,,,,1,,,1,,1,,,,,1,,,,1,,,,,,,1,,,1,,1,,,,,,195,7,3,2,,3,3,3,3,3,,2,,,1,,,,,,,
12/11/19 15:14,107.77.212.54,799,13.32,qr,2,Central,,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1400,200,500,400,1,,,,,,,1,,,1,,5,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,2,,,,,1,,,,1,9,5,,1,,,,,,,,,,,,,,,1,,,1,,,,,8,10,10,10,10,10,3,3,3,,,,,,,1,,1,,,,,,,,3,1,,,,,,,,,,1,,,1,,1,,,,,,145,4,3,2,,2,3,3,3,3,,2,1,,1,,,,,,,
12/11/19 15:18,174.222.144.110,1051,17.52,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,300,40,340,0,,,,1,,,,2,,,,,,2,1,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,3,,,,,1,,,,7,,,8,,,,,,,,,,,,,,1,,,,,1,1,,,,10,10,8,10,8,8,3,3,2,1,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,1,,,1,,1,,,,,,,,3,2,,2,2,2,2,2,,2,1,,1,,,,,,,
12/11/19 15:22,174.222.145.154,658,10.97,qr,1,Delta,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,120,180,0,,1,,1,,,,1,,,,1,6,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,1,,,,7,,,8,,,,,,,,,,,,,,,1,,,,,,,,,8,8,8,8,8,8,2,2,2,,,,,,,,1,,,,,,,1,,6,,,,,,,,,1,,7,,,,1,,,,,1,,,,5,6,,2,2,2,2,2,,1,2,,1,,,,,,,
12/11/19 15:25,174.222.137.53,529,8.82,anonymous,3,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7000,2000,9000,0,,1,,,,,,2,,,,,,6,1,1,,1,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,,3,,,,,1,,,,6,,,2,,,,,,,,,,,,,,1,,,,,,1,,,,10,10,10,10,10,10,3,3,3,,,,,,,1,,,,,,,1,,,4,1,1,,,,,,,,,2,,,1,,,,,,1,,,,2,2,,2,3,3,2,2,,2,1,,1,,,,,,,
12/11/19 15:27,174.222.131.109,279,4.65,qr,3,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,100,0,100,0,,1,,,,,,2,,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,3,,,,,1,,,,6,,,8,,,,,,,,,,1,,,,,,1,,,,,,,,8,8,8,8,8,8,2,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,3,,,,,,,,,,,,,,,2,2,2,2,2,2,,5,1,,1,,,,,,,
12/11/19 15:28,174.222.131.0,746,12.43,anonymous,3,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7000,3000,10000,0,1,1,,,,,,2,,,,,,6,1,1,1,,,,1,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,,Cover crops may harbor spider mite populations that will move up the trees as the crop dries out.,6,,,8,1,1,1,,,,,,1,,,,,,,,,1,,,,,,10,10,10,10,10,10,3,3,3,,,,,,,1,,,,1,1,1,,,,3,,1,,1,1,1,,,,,2,,,1,,1,,,,,,200,12 frame,2,4,,2,3,2,3,2,,2,1,,1,,,,,,,
12/11/19 15:29,174.222.5.209,759,12.65,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,800,200,NA,30,,,1,,,,,1,,,1,1,6,,,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,1,,,,1,8,5,,1,,,,,,,,,,,,,,,,,,1,,,,,8,10,10,8,10,10,3,2,3,,,,,1,,,,,,,,1,,,,3,,,,,1,1,,,,,1,,,1,,1,,,,,,185,8,2,2,,2,2,2,1,2,,2,1,,1,,,,,,,
12/11/19 15:32,107.77.213.152,436,7.27,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1,,,,2,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,3,,,,,1,,,,1,9,5,,,,,1,,,,,1,1,,,,,,,,1,,,,,,8,10,8,8,10,10,3,2,3,1,,,1,,,,,,1,,,1,,,,3,,1,,,1,,,,,,1,1,,,,1,,,,,,0,0,2,2,,2,3,2,3,2,,1,1,,1,,,,,,,
12/11/19 15:46,174.222.10.91,677,11.28,qr,3,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,100,0,100,0,,,,1,,,,1,,,,1,6,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,6,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,10,10,10,10,10,10,3,3,3,,,1,1,,1,,,,,,,1,,,,4,,,,,,,1,,,,1,,,1,,,1,,,,,300,70,2,2,,2,3,3,2,3,,4,1,,1,,,,,,,
12/11/19 16:12,174.222.131.195,3380,56.33,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,35000,3000,100000,0,,1,,,,,,2,,,,,,6,,,1,,1,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,3,,,,,1,,,,6,,,8,,,,,,,,,,,,,,,1,,,,,,1,,,10,10,10,8,8,10,2,3,3,,,,,1,,,,,,,,1,,,,6,,,,,,,,,1,,2,,,1,,,,,,1,,,,5,6,,2,3,3,3,2,,2,6,,1,,,,,,,
12/11/19 16:30,166.137.163.53,521,8.68,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,70,70,0,1,1,,1,,,,2,,,,,,6,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,2,,,,,1,,,,6,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,7,8,8,10,8,8,2,2,2,,,,1,,,,,,,1,1,,,,,3,1,1,,1,,,1,,,,1,1,,,,1,,,,,,,,5,2,,2,3,2,2,2,,2,1,,1,,,,,,,
12/11/19 16:32,107.77.214.236,513,8.55,anonymous,3,Central,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,70,140,0,,1,,,,,,2,,,,,,6,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,2,,,,,1,,,,6,,,8,1,,,,,,,,,,,,,,,1,,1,,,,,,10,10,8,10,10,10,3,3,3,,,,,,,,1,,,,,1,,,,3,,,,1,,,,,,,1,,1,,,1,,,,,,,,5,4,,2,3,3,3,3,,2,1,,1,,,,,,,
12/11/19 16:33,107.77.214.36,1547,25.78,qr,2,North,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,0,128,0,1,,,,,,,2,,,,,,2,1,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,,,1,,,,1,8,5,,,,,1,,,,,,,,,,,,,1,1,,,,,,7,10,10,8,10,10,3,1,2,,,,,,,1,,,,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,1,,1,,,,,,210,8,3,4,,2,2,2,3,2,,4,1,,1,,,,,,,
12/11/19 16:35,107.77.214.14,822,13.7,anonymous,2,Central,,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,300,20,320,0,1,1,,1,,,,2,,,,,,1,,,1,,,,,1,,,,,,,,1,,1,1,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,212,114,,6,,,1,1,,,1,,,1,,,,,,,,,1,1,,1,1,,,,7,10,10,10,10,10,3,3,3,,,,,,,1,,,,1,,,,,,3,,1,1,,,,1,,,,1,,,,1,1,,,,,,185,8,2,2,,3,3,3,2,2,,3,1,,1,,,,,,,
12/11/19 17:17,107.77.214.236,501,8.35,qr,2,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,100,20,300,0,,1,,1,,,,2,,,,,,6,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,1,,3,,,,1,,,,,6,,,8,,1,1,,,,,,,,1,,,,,1,,1,,,,,,8,8,8,8,8,8,2,2,2,1,,,,1,,,,,,1,,1,,,,3,,1,1,,,,,,,,1,,,1,,1,,,,,,210,Not sure ,3,2,,3,3,3,3,2,,1,1,,2,,,,,,,
12/11/19 17:58,107.77.214.93,413,6.88,anonymous,1,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,500,100,600,0,1,,,,,,,2,,,,,,2,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,200,45,No,6,,,2,1,,,,,,,,,,,,,,,1,,,,,,,No,10,10,10,10,10,10,3,3,3,,,1,,,,,,1,,,,,,,No,6,,,,,,,,1,,No,1,,,1,,1,,,,,,300,2,2,2,,3,3,3,3,3,,5,1,,1,,,,,,,
12/11/19 23:11,50.91.236.109,313,5.22,anonymous,3,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,,,,,,,1,,,,1,5,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,1,,,,6,,,8,,1,,,,,,,,,,,,,,1,,,,,,,,8,8,7,8,8,8,1,1,1,1,,,,,,,,,,,1,,,,,3,1,,,,,,,,,,1,,,1,,1,,,,,,,,3,2,,2,3,3,3,3,,2,1,,1,,,,,,,
